Title,PropertySize,TotalPrice,PriceperMeter,RoomCount,BuildYear,FloorNumber,TotalFloors,Characteristics,Features,Description,URL,CrawlDate
فروش زمین 210 متری,Not found,210 متر,130٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,زمین فروشی منزلاب شهرک رسول اباد,https://divar.ir/v/فروش-زمین-۲۱۰-متری/wZnu620Y,2025-02-15
فروش زمین 240 متری,Not found,240 متر,1٬950٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,شهرک جهادشهروند23داخل میلان قطعه سوم دارای سندتکبرگ,https://divar.ir/v/فروش-زمین-۲۴۰-متری/wZWOTCfK,2025-02-15
فروش آپارتمان 115متری 2 خواب,115,1٬600٬000٬000 تومان,13٬913٬000 تومان,2,1392,2,4,تعداد واحد در طبقه: ۳ | سند: تک‌برگ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ | انباری | بالکن | جنس کف موکت | سرویس بهداشتی ایرانی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم آبگرم‌کن,سلام آپارتمان فول امکانات مجتمع وحدت,https://divar.ir/v/فروش-آپارتمان-115متری-2-خواب/wZsaoH7a,2025-02-15
فروش واحد خام/195 متری/22بهمن ـ شورا,195,4٬300٬000٬000 تومان,22٬051٬000 تومان,3,1403,2,6,تعداد واحد در طبقه: ۲ | سند: سایر | جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری ندارد | بالکن | جنس کف سرامیک,"........کار گزاری املاک پارتVIP........... 

                 ♦️با سلام و عرض ادب♦️

      ❇️فروش واحد خام تقاطع شورا و 22 بهمن ❇️ 



✅خوش لوکیشن 
✅نورگیری عالی 
✅کف سرامیک
✅طبقه دوم
✅کم تراکم 
✅ رو به نما

 
   ...................................................................... 
 ⚜️آدرس دفتر: معلم 20 کارگزاری املاک پارتVIP⚜️
   ..................................................................... 
         ⚜️مشاور مربوطه: مهدی شهریاری⚜️
                 .............................                        
جهت هماهنگی بازدید و کسب اطلاعات بیشتر با ما تماس داشته باشید.",https://divar.ir/v/فروش-واحد-خام-۱۹۵-متری-۲۲بهمن-ـ-شورا/wZoaL7qU,2025-02-15
زمین دونبش 10 متری و12متری سیادک,Not found,198 متر,230٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,زمین واگذاری سپاه تیپ 110 دونبش 12 و10 متری 3دانگ,https://divar.ir/v/زمین-دونبش-۱۰-متری-و۱۲متری-سیادک/wZqtPx2v,2025-02-15
فروش زمین 3000 متری,Not found,3٬000 متر,1٬300٬000٬000 تومان,Not found,Not found,Not Found,Not Found,Not Found,not found,سلام عرض ادب خدمت دوستان عزیز زمین در روستای چشمه زیارت 35کیلومتری زاهدان قیمت هزار متر  پنجاه ملیون قیمت سه هزار متر با هم صدو سی میلیون  تخفیف جزئی پای قولنامه,https://divar.ir/v/فروش-زمین-۳۰۰۰-متری/wZoGcSVy,Not Found
آپارتمان 100 متری فول زیباشهر,100,1٬800٬000٬000 تومان,18٬000٬000 تومان,2,1403,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری ندارد,"⚜️⚜️⚜️⚜️⚜️⚜️املاک رز آبی ⚜️⚜️⚜️⚜️⚜️⚜️
___________BLUE_____________ROSE________
   
   ⭕ پیشنهاد مطمئن و سرمایه گذاری امن⭕
                (  با مشاورین ملکی رز آبی)
___________ ⚜️ مشخصات فایل ⚜️_____________

⚜️ آپارتمان فول زیباشهر

⚜️متراژ واحد : 100 متری 
⚜️موقعیت : پشت به نما
⚜️پارکینگ : همکف
⚜️واقع در طبقه : دوم
⚜️ قابلیت رهن تا 350
⚜️خوش نقشه فرش خور
⚜️نورگیر 
⚜️کوچه 10 متری
⚜️اقتصادی 
⚜️قابل تهاتر با خودرو 
⚜️موارد مشابه هم موجود می باشد


♦ آدرس ملک :زیباشهر - منطقه 11
 
___________✳️ توضیحات تکمیلی ✳️_____________

✳️سازنده معتبر 
✳️شرایط پرداخت : قابل مذاکره ،قابل تهاتر
_______________________________________________  
 با مشاورین حقوقی و ملکی رز آبی مطمئن خرید کنید
____________________________________________________
⭕ شعبه مرکزی ( تقاطع پیامبر اعظم و شهید اسدی زاده )",https://divar.ir/v/آپارتمان-۱۰۰-متری-فول-زیباشهر/wZo2ag_U,2025-02-15
فروش آپارتمان 100 متری (قلنبر),100,2٬300٬000٬000 تومان,23٬000٬000 تومان,2,1386,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"………….✴️با سلام و عرض ادب✴️…………

                   ✳️آژانس مسکن پارت✳️
   
✨متراژ 100
✨2 خواب 
✨طبقه 1 از 4
✨8 واحدی
✨کمد دیواری 
✨کف سرامیک
✨نورگیری عالی
✨کابینت mdf 


   ⚜️  آدرس :آژانس مسکن پارت دانشگاه 7 ⚜️
                        
           ♦مشاور  مربوطه: سمانه ضمیری♦",https://divar.ir/v/فروش-آپارتمان-۱۰۰-متری-قلنبر/wZs6UumB,2025-02-15
معاوضه آپارتمان 198 متری 3 خوابه همکف,198,3٬800٬000٬000 تومان,19٬191٬000 تومان,3,1398,Not Found,Not Found,تعداد واحد در طبقه: ۲ | سند: قول‌نامه‌ای | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش بخاری | تأمین‌کننده آب گرم پکیج,"واحد همکف زیربنا واحد 163متر
حیاط 70متر راه جدا مستقل با درب آدم رو داخل فضای سبز
سه خواب دارای  کمد دیواری 
حمام مستر
آشپز خانه کابینت ای شیک ترک 
هود و گاز مارک کن
تسویه آب 
پارکینگ بدون مزاحمت  زیر زمین
پرده شیک
لوستر 
دارای دو اسپیلت 24هزار و12هزار
دارای سیم کشی و محافظ جریان از کنتور 
کانال کشی کولر تمام اتاق ها 
انباری  و سرویس بهداشتی داخل حیاط 
باربیکیو  وباغچه 
 آیفون دو پنله
واحد تا برج 4مستاجر دارد مبلغ 350 از مبلغ کل کسر می‌شود
سند تا  برج 2آماده می‌باشد و مستقیم به نام خریدار میشود
تخفیف جزیی پای معامله 
معاوضه با خودرو و ملک در گلبهار مشهد انجام میشود
املاک محترم مزاحم نشوید 
خریدار واقعی تماس بگیرد و به وقت هم احترام بگذارید با تشکر",https://divar.ir/v/معاوضه-آپارتمان-۱۹۸-متری-۳-خوابه-همکف/wZEmtLet,2025-02-15
معاوضه زمین با ماشین زمین 200متری,Not found,200٬000 متر,111٬111٬111٬111 تومان,Not found,Not found,Not Found,Not Found,not found,not found,سلام یک قلعه زمین سیادک 200متری از زمین های سپاه قلعه زمین D196تمام واریزی هاش انجام شده از جمله پول گاز برق وآب هر دو طبقه واریز شده فقط پول سند مونده ک 27تومان میشه  اونم ب عهده خریدار است معاوضه با ماشین دارم قیمت 650,https://divar.ir/v/معاوضه-زمین-با-ماشین-زمین-200متری/wZvCUDfr,2025-02-15
واحد پرستار (فوری),98,1٬470٬000٬000 تومان,15٬000٬000 تومان,2,1395,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ | انباری,"بنام خدا

✅بهترین برای شروع تازه بهار است ✅


__________
⚜️فروش واحد پرستار دادگستری⚜️



امکانات

⚜️پکیج و رادیات  ⚜️

⚜️پذیرایی و اتاق خواب ها نور گیر عالی⚜️

⚜️مشاعات  با رعایت و امکانات کامل⚜️

⚜️مجتمع حیاط وسیع⚜️


⚜️و سند در دست اقدام است ارگان دولتی هست ⚜️

—————————————
‼️واحد مورد نظر تا سقف350 میلیون رهن کامل هم میتوان داد‼️

برای دریافت اطلاعات بیشتر ، وبازدید تماس بگیرید


✅و فایل های دیگر با توجه به بودجه شما موجود هست ✅



✅مشاور شما:آقای سرگزی✅
آدرس دپارتمان بهار:بین قلنبر 14و16",https://divar.ir/v/واحد-پرستار-فوری/wZrWWV_s,2025-02-15
فروش آپارتمان 200 متری 3 خوابه همکف,200,7٬500٬000٬000 تومان,37٬500٬000 تومان,3,1400,Not Found,Not Found,تعداد واحد در طبقه: ۱ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"✴️ ساختمان برند منطقه

✅️ 3 خواب یک خواب مستر
✅️ کابینت Enzo
✅️ سیستم هوشمند به همراه پنل
✅️ اسپیکر سقفی
✅️ لوستر 
✅️ پرده
✅️ کمد دیواری عمیق با طراحی روز
✅️ گچ بری رنگ و کاغذ دیواری تُرک درجه یک
✅️ غرق نور
✅️ رنگ آلمانی
✅️ دارای ورودی و لابی از ترکیب سنگ چوب و شیشه

✴️ متراژ مفید واحد 170 متر به همراه 60 متر حیاط اختصاصی که نصف متراژ حساب میشه
✴️ واحد دارای مستاجر به مدت یک سال میباشد به مبلغ ماهیانه بالا
✴️ ساختمان هر یک روز درمیان تمیزکاری اساسی می‌شود
✴️ ساختمان از هر نظر درجه یک و برند",https://divar.ir/v/فروش-آپارتمان-۲۰۰-متری-۳-خوابه-همکف/wZjWmopS,2025-02-15
قلنبر و بهار,135,3٬500٬000٬000 تومان,25٬925٬000 تومان,3,1403,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"سه خواب . ساختمان از دو کوچه ورودی دارد
سازنده معتبر . بهترین متریال 
طبقه پنجم بخاطر نور و تهویه بهتر .رو به نما .تخفیف پای معامله . مالک هستم",https://divar.ir/v/قلنبر-و-بهار/wZpCi5XB,2025-02-15
فروش آپارتمان 135 متری 2 خوابه,135,4٬180٬000٬000 تومان,30٬962٬000 تومان,2,1403,5,6,تعداد واحد در طبقه: ۲ | سند: سایر | جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری ندارد | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"✅دپارتمان باور ✅
__________________________________
⚫️اگر‌ واحد یا ملکی‌ برای فروش‌در هر‌منطقه ای دارید با بنده تماس بگیرید.⚫️
____________________________
یک واحد آپارتمان واقع در خیابان قلنبر با مشخصات ذیل به فروش می رسد:
________________
✔️متراژ: 135متری
_________________
✔️دو خواب ( یک خواب مستر)
✔️طبقه پنجم
✔️رو به نما 
✔️ساختمان دو کله
__________________
✔️واحد خام می باشد.
__________________
✔️پارکینگ بدون مزاحمت
✔️آسانسور 8 نفره
___________________
✔️موارد مشابه موجود می‌باشد.
____________________
✔️برای بازدید و‌اطلاعات بیشتر تماس بگیرید.
____________________
✔️مشاور شما :وحید میر
✔️مدیریت: خانم فروغی
____________________
از ما بهترین ها را بخواهید،این شعار نیست باور ماست.",https://divar.ir/v/فروش-آپارتمان-۱۳۵-متری-۲-خوابه/wZqaA2ZH,2025-02-15
فروش آپارتمان 75 متری 2 خوابه,75,1٬800٬000٬000 تومان,24٬000٬000 تومان,2,1400,4,4,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی | سرمایش کولر آبی | گرمایش بخاری | تأمین‌کننده آب گرم آبگرم‌کن,"⚜️⚜️⚜️⚜️⚜️⚜️سلام و درود⚜️⚜️⚜️⚜️⚜️

باسلام تعدادی آپارتمان با مشخصات زیر به فروش می‌رسد.

✅منزل ویلایی.خیابان مالک اشتر.375متری..4واحد تجاری...5میلیارد
✅دانشگاه11..75متری...آسانسور .پارکینگ..طبقه4..1800
✅بزرگمهر26...125متری همکف..سه خواب...2900
✅بزرگمهر26...200متری..طبقه اول...سه خواب...4600
✅بزرگمهر26...165متری...طبقه دوم..2خواب...3800
✅بزرگمهر26...165متری...طبقه دوم.سه خواب...3800
✅زیباشهر..ویلا..187متری..ساخت90..آسانسور.پارکینگ.3740
✅خ مهتاب چهاراه نقلیه..400متری...کلنگی...6میلیارد

جهت کسب اطلاعات بیشتر به دفتر املاک خانه مهر خیابان بزرگمهر تقاطع دانش مراجعه فرمایید.",https://divar.ir/v/فروش-آپارتمان-۷۵-متری-۲-خوابه/wZnOozQe,2025-02-15
زمین منطقه 11 زیباشهر,Not found,487 متر,4٬139٬500٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,"باسلام 


☑️زمین 487 متری 
☑️عرض 15
☑️منطقه 11 زیباشهر 
☑️ اول منطقه 
☑️مناسب جهت ساخت و ساز 

✅شماره قطعه 11/15/17

جهت بازدید تماس گرفته شود 

**************

خسروی 


جهت اطلاع از موارد اجاره تجاری و ویلای و آپارتمانی و مشاوره جهت خرید و فروش ،مشارکت و پیش خرید تماس گرفته شود",https://divar.ir/v/زمین-منطقه-۱۱-زیباشهر/wZtav-Ka,2025-02-15
زمین سیادک استانداری راسته خ24 متری,Not found,210 متر,630٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,"باسلام 

زمین راسته خیابان 24 متری اصلی 

بهترین موقعیت روبه روی طرح مسکن ملی 

دارای برق .اب .گاز  

زمین فقط معاوضه میشود با ماشین",https://divar.ir/v/زمین-سیادک-استانداری-راسته-خ۲۴-متری/wZO6GeFp,2025-02-15
دانشجو/3خواب/روبه نما,135,4٬050٬000٬000 تومان,30٬000٬000 تومان,3,1403,Not Found,Not Found,تعداد واحد در طبقه: ۲ | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری ندارد | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی,"با سلام خدمت دوستان
واحد آپارتمان در حاشیه خیابان دانشجو
 ✅️کف سرامیک
✅️3 خواب ، یک خواب مستر
✅️ موقعیت عالی 
✅️دسترسی عالی
✅️کاملا نورگیر
✅️پارکینگ اختصاصی بدون مزاحمت
✅️ساختمانی کم تراکم (9واحدی)
✅️انباری
✅️تراس کاربردی
✅️ویو عالی













کارگزاری مسکن تاج",https://divar.ir/v/دانشجو-3خواب-روبه-نما/wZWmGlsP,2025-02-15
زمین مسکونی تجاری عالی در بهترین نقطه شهر,Not found,406 متر,17٬000٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,"قابل توجه سازندگان و سرمایه‌گذاران برای بازدهی زودهنگام! 

زمینی با متراژ 406 متر مربع در منطقه دروازه خاش، ورودی فلسطین. تنها چند قطعه از بر خیابان دانشگاه فاصله دارد. این زمین دارای موقعیت مکانی بسیار عالی و قابلیت گرفتن مجوز تجاری است. 

 **ویژگی‌ها:**
- 18 متر بر خیابان
- مناسب برای ساخت مجتمع یا پاساژ
- منطقه دارای زیرساخت‌های کامل و دسترسی آسان 

فرصتی طلایی برای سرمایه‌گذاری و بازدهی زودهنگام. 

**تما***************",https://divar.ir/v/زمین-مسکونی-تجاری-عالی-در-بهترین-نقطه-شهر/wZbqRT_V,2025-02-15
فروش آپارتمان 110 متری 2 خوابه,110,1٬200٬000 تومان,10٬000 تومان,2,1403,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن,مسکن ملی تحویل داده شده است,https://divar.ir/v/فروش-آپارتمان-۱۱۰-متری-۲-خوابه/wZtqeBES,2025-02-15
Not Found,200,Not Found,5٬700٬000٬000 تومان,4,Not Found,Not Found,Not Found,Not Found,پارکینگ | انباری | بالکن | جنس کف موزائیک | سرویس بهداشتی ایرانی | سرمایش کولر آبی | گرمایش بخاری | تأمین‌کننده آب گرم آبگرم‌کن,"ویلایی 422 متری در خیابان مولوی به فروش میرسد

هم برای سکونت خوبه هم ساخت و ساز

امکانات معمولی 

گازکشی شده 

حیاط خیلی بزرگ 


زیر قیمت کل منطقه به فروش میرسد 


تخفیف خوب پای معامله",Not Found,2025-02-15
300متر زمین منزلاب,Not found,300 متر,150٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,با سلام 300متر زمین روبروی شاهمرادی آباد دورو بر ساختن کنار دکل ایرانسله معاوظه هم دارم با ماشین,https://divar.ir/v/۳۰۰متر-زمین-منزلاب/wZSeywae,2025-02-15
فروش ویلایی کلنگی 141متری خ کوشا,50,141,1٬600٬000٬000 تومان,1,قبل از 1370,Not Found,Not Found,جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,پارکینگ | انباری ندارد | بالکن | جنس کف موزائیک | سرویس بهداشتی ایرانی,"هوالرزاق
منزل فوق ویلایی کلنگی
متراژ141متری
آماده برای ساخت وساز
آدرس ملک خ کوشا -(انتهای چهاراه رسولی ) هم ازقدس10 راه دارد.
قیمت1600میلیارد
برای اطلاعات بیشتر ب آدرس دفتر ب نشانی کوی قدس روبروی قدس چهار مراجعه فرمایید.
املاک یاسین زاده با بیش از دو دهه سابقه در عرصه خرید،فروش،رهن،اجاره،ساخت وساز با کادر مجرب در خدمت مردم شریف استان
مشاور شما مشتاقی 
باتشکر",https://divar.ir/v/فروش-ویلایی-کلنگی-141متری-خ-کوشا/wZtauCPd,2025-02-15
امیرمعز/شخصی ساز /فول امکانات,165,6٬270٬000٬000 تومان,38٬000٬000 تومان,3,1403,2,5,تعداد واحد در طبقه: ۳ | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش اسپلیت | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"⚜️کارگزاری مسکن تاج ⚜️

باسلام و خسته نباشید خدمت 
       همشهریان گرامی 
_________________________________
فروش واحد به مشخصات زیر :

✨️فول امکانات 
✨️دیزاین شیک 
✨️روبه نما 
✨️نورگیر
✨️ساختمان دو کله 
✨️شخصی ساز 
✨️لوکیشن امن و آرام 

✅️کابینت منبران 
✅️دو خواب مستر 
✅️هر سه خواب کمد دیواری 
✅️سرویس مجزا 
✅️تراس بزرگ 
✅️پکیج و رادیاتور 
✅️کولر ابی و اسپیلت 
✅️پارکینگ رمپ
✅️آسانسور 7 نفره 
✅️تراکم 15 واحد 

❗️واحد های دیگر در طبقه های مختلف موجود است 
 
خریدوفروش مطمئن و تضمینی 

میر هستم مشاور شما در عرصه خرید و فروش 

⚜️ادرس کارگزاری مسکن :بلوار دانشجو ‌. روبه وی دانشجو 12",https://divar.ir/v/امیرمعز-شخصی-ساز-فول-امکانات/wZqC2dSU,2025-02-15
آپارتمان فردوسی/ دو خواب/ 120 متری,120,2٬350٬000٬000 تومان,19٬583٬000 تومان,2,1389,Not Found,Not Found,سند: تک‌برگ | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | جنس کف پارکت چوب | سرویس بهداشتی ایرانی | سرمایش کولر آبی,"⚜️کارگزاری املاک ونوس⚜️

 ♻️ یافتن سلیقه شما تخصص ماست ♻️

 کاملا بازسازی شده و نیاز به خرج اضافی نداره

مشخصات و  مشاعات
✔️ کف پارکت طرح چوب
✔️ آشپزخانه دلباز
✔️ روبه نما 
✔️  کاغذ دیواری
✔️  آسانسور 
✔️ پارکینگ هم کف
✔️ کمد دیواری
✔️ آسمان مجازی 
✔️ لوستر گران قیمت 
✔️ کابینت های گلاس 
✔️  شومینه زیبا 

⚜️خرید ایده ال و حرفه ای تجربه کنید⚜️
موارد بیشتر متناسب با بودجه و سلیقه شما با ما تماس بگیرید.
مشاور شما: در امر پیش فروش/خرید و فروش آپارتمان (آقای جهانتیغ)
با مدیریت:آقای شهرکی و آقای یزدان طلب 
آدرس دفتر: روبروی معلم 6 

⚜️⚜️کارگزاری املاک ونوس⚜️⚜️
بهترین ها را از ونوس بخواهید.",https://divar.ir/v/آپارتمان-فردوسی-دو-خواب-۱۲۰-متری/wZVGTIMz,2025-02-15
فروش خانه آپارتمان 100 متری 2 خوابه,100,100,7 تومان,2,1400,Not Found,Not Found,وضعیت واحد: بازسازی نشده,پارکینگ ندارد | انباری ندارد | بالکن ندارد,سلام داخل عکس توضیح دادم  کسی بود اسم و فامیل پیام کنین,https://divar.ir/v/فروش-خانه-آپارتمان-۱۰۰-متری-۲-خوابه/wZt2rLpw,2025-02-15
ویلایی 200متری امیرکبیر/ثارالله,145,200,5٬400٬000٬000 تومان,2,1389,Not Found,Not Found,سند: تک‌برگ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی شده,پارکینگ | انباری | بالکن ندارد | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش اسپلیت | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"به نام یگانه معمار هستی 
با سلام و احترام 
ویلایی فول بازسازی در محدوده ی امیر کبیر و ثارالله 23 به فروش می رسد . 
              ⚜️سند تک برگ 
⚜️  اسپیلت
⚜️  پکیج و شوفاژ
⚜️  دستگاه تصفیه آب
⚜️گاز رومیزی 
⚜️درب برقی
⚜️  درب ضد سرقت
⚜️ آیفون تصویری
⚜️  سقف حیاط دوعدد سایبان 
⚜️ کمد دیواری
⚜️  دو خواب
⚜️ کف حیاط سنگ
⚜️  حال پذیرایی بزرگ
⚜️ نما رومی
 ⚜️ کابینت mdf
⚜️ حیاط خلوت سر پوشیده
⚜️ کوچه ده متری

-------------// --------------------------------------------
 دپارتمان املاک باور 
آدرس : نبش بزرگمهر بیست 
⚜️⚜️⚜️مشاور شما : خانم غریبی
مدیریت : خانم فروغی",https://divar.ir/v/ویلایی-۲۰۰متری-امیرکبیر-ثارالله/wZjCtJXL,2025-02-15
فروش آپارتمان 155 متری همکف زیباشهر,155,3٬700٬000٬000 تومان,23٬870٬000 تومان,3,1403,Not Found,Not Found,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی,"✨ به نام یگانه معمار هستی ✨

          دپارتمان برتر

 ✨ اعتماد شما ، تعهد ما ✨


یک واحد آپارتمان همکف 155متری واقع در زیباشهر

راسته خیابان شورا،با مشخصات زیربفروش میرسد :

⚡ ملک دونبش 

⚡ راسته اصلی خیابان

⚡ ورودی کاملا مستقل

⚡ 15 متر حیاط اختصاصی

⚡ سازنده خوشنام ومعتبر منطقه

⚡ موقعیت مکانی بسیار عالی

⚡ متریال درجه یک

⚡ خوابها کاملا نورگیر

⚡ بسیار خوش نقشه

⚡ تحویل بصورت خام میباشد

⚡ و... 

♦ واحد همکف 100 متری درهمین ساختمان موجود

♦ همچنین پنت هوس و واحد تجاری در          
     
     همین ساختمان موجود میباشد

☎ جهت کسب اطلاعات بیشتر لطفا تماس بگیرید
   
✨ مشاوره تخصصی در امورات ملکی ، 

     حقوقی و تسهیلات بانکی

✨ کارشناس فروش : آقای خزاعی

✨ آدرس دفتر جهت مراجعه حضوری :

     زیباشهر - خیابان شورا - نبش شورای 4


⭐برترین انتخاب خود را در دپارتمان برتر تجربه کنید⭐",https://divar.ir/v/فروش-آپارتمان-۱۵۵-متری-همکف-زیباشهر/wZnCcbi3,2025-02-15
مزاری، رو به نما، تهاتر با ماشین,110,700٬000٬000 تومان,6٬363٬000 تومان,2,1403,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"⚜️دپارتمان سراسری آلتون ⚜️

⬅️فروش فوق‌العاده یک واحد 110 متری، رو به نما، مرحله ی سقف سوم، تحویلی سال آینده، سازنده ی معتبر و قابل اعتماد، به ضمانت محضری کردن واحد
✓پیش پرداخت اولیه 700 تومن و بقیه ی اقساط به صورت توافقی و با توجه به شرایط شما 
آدرس، مزاری، روبروی مسجد الغدیر 
ـ
ارادتمند، مژگان مقدم
شعبه ی مرکزی دپارتمان، بلوار معلم 
شعبه ی دوم، زیباشهر، البرز",https://divar.ir/v/مزاری-رو-به-نما-تهاتر-با-ماشین/wZcRAqDb,2025-02-15
زمین دونبش خیابان 12 وکوچه 6 متر ( غدیرشهر ),Not found,151 متر,800٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,"❌ دپارتمان و مشاور املاک کامران  ❌
     مدیریت =  اقای کامران حمیدی 

ادرس املاک❓غدیرشهر بلوار ولایت نرسیده به بلوار سپاه جنب مجتمع مسکونی معمار 

⏰مراجعه حضوری 4بعدظهر الی 8 شب

⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️
 ↩️ توضیحات =

1⃣زمین واگذاری مسکن شهرسازی 
2️⃣روبرو فاز دو سپاه 
3️⃣متراژ کل زمین = 151/5 متر 
4️⃣موقعیت شمالی 
5️⃣دونبش خیابان 12 و کوچه شش متری 
6️⃣پروانه ساخت دارد 

⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️

❌ دپارتمان و مشاور املاک کامران  ❌

ادرس املاک❓غدیرشهر بلوار ولایت نرسیده به بلوار سپاه جنب مجتمع مسکونی معمار 

☎️تماس ساعت 1 ظهر الی 10 شب
⏰مراجعه حضوری 4بعدظهر الی 8 شب",https://divar.ir/v/زمین-دونبش-خیابان-۱۲-وکوچه-۶-متر-غدیرشهر/gZYxGINR,2025-02-15
زمین فروش,Not found,250 متر,200٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,سلام زمین فروشی پوگی بعد پایگاه حاجی مجید کنار جاده آسفالت است آب و برق نزدیک زمین بهترین جای برای زندگی عالی است,https://divar.ir/v/زمین-فروش/wZnylIEb,2025-02-15
آپارتمان 79 متری راسته خیابان رزمجو مقدم,79,1٬530٬000٬000 تومان,19٬367٬000 تومان,2,1385,3,4,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"به نام خالق زیبایی باسلام و احترام   یک واحد آپارتمان 79 متری با بهترین موقعیت مکانی به فروش می‌رسد  تخفیف هنگام قولنامه داده خواهد شد
✅آدرس: راسته خیابان رزمجو مقدم حد فاصل رزمجو وفرخی  
✅طبقه سوم
✅ تعداد اتاق ها: دوخواب
✅ امکانات:  کابینت ام دی آف ، آسانسور، انباری رو به نما،سندتک برگ
مشاور: میرشکار
املاک برج آبی بین حسین بر 4و6 
با مدیریت آقای میر پارسا",https://divar.ir/v/آپارتمان-۷۹-متری-راسته-خیابان-رزمجو-مقدم/wZKKHAee,2025-02-15
